SERVICIO,LR-CONST,LR-AVELL,LR-SARAN,LR-VDOMI,LR-WILDE,LR-DBOSC,LR-BERNA,LR-QUILM,LR-EZPEL,LR-BERAZ,LR-PTNOS,LR-HUDSO,LR-PEREY,LR-VELIS,LR-CBELL,LR-GONNE,LR-RINGU,LR-TOLOS,LR-LPLAT
4105,05:54,06:02,06:08,06:11,06:14,06:16,06:19,06:22,06:27,06:31,06:36,06:38,06:45,06:49,06:53,06:58,07:01,07:06,07:10
4109,06:45,06:53,06:59,07:02,07:05,07:07,07:10,07:13,07:18,07:22,07:27,07:29,07:36,07:40,07:44,07:49,07:52,07:57,08:01
4113,07:45,07:53,07:59,08:02,08:05,08:07,08:10,08:13,08:18,08:22,08:27,08:29,08:36,08:40,08:44,08:49,08:52,08:57,09:01
4117,08:45,08:53,08:59,09:02,09:05,09:07,09:10,09:13,09:18,09:22,09:27,09:29,09:36,09:40,09:44,09:49,09:52,09:57,10:01
4121,09:45,09:53,09:59,10:02,10:05,10:07,10:10,10:13,10:18,10:22,10:27,10:29,10:36,10:40,10:44,10:49,10:52,10:57,11:01
4125,10:37,10:45,10:51,10:54,10:57,10:59,11:02,11:05,11:10,11:14,11:19,11:21,11:28,11:32,11:36,11:41,11:44,11:49,11:53
4129,11:29,11:37,11:43,11:46,11:49,11:51,11:54,11:57,12:02,12:06,12:11,12:13,12:20,12:24,12:28,12:33,12:36,12:41,12:45
4133,12:21,12:29,12:35,12:38,12:41,12:43,12:46,12:49,12:54,12:58,13:03,13:05,13:12,13:16,13:20,13:25,13:28,13:33,13:37
4137,13:13,13:21,13:27,13:30,13:33,13:35,13:38,13:41,13:46,13:50,13:55,13:57,14:04,14:08,14:12,14:17,14:20,14:25,14:29
4141,14:05,14:13,14:19,14:22,14:25,14:27,14:30,14:33,14:38,14:42,14:47,14:49,14:56,15:00,15:04,15:09,15:12,15:17,15:21
4145,14:57,15:05,15:11,15:14,15:17,15:19,15:22,15:25,15:30,15:34,15:39,15:41,15:48,15:52,15:56,16:01,16:04,16:09,16:13
4149,15:49,15:57,16:03,16:06,16:09,16:11,16:14,16:17,16:22,16:26,16:31,16:33,16:40,16:44,16:48,16:53,16:56,17:01,17:05
4153,16:41,16:49,16:55,16:58,17:01,17:03,17:06,17:09,17:14,17:18,17:23,17:25,17:32,17:36,17:40,17:45,17:48,17:53,17:57
4157,17:33,17:41,17:47,17:50,17:53,17:55,17:58,18:01,18:06,18:10,18:15,18:17,18:24,18:28,18:32,18:37,18:40,18:45,18:49
4161,18:25,18:33,18:39,18:42,18:45,18:47,18:50,18:53,18:58,19:02,19:07,19:09,19:16,19:20,19:24,19:29,19:32,19:37,19:41
4165,19:17,19:25,19:31,19:34,19:37,19:39,19:42,19:45,19:50,19:54,19:59,20:01,20:08,20:12,20:16,20:21,20:24,20:29,20:33
4169,20:09,20:17,20:23,20:26,20:29,20:31,20:34,20:37,20:42,20:46,20:51,20:53,21:00,21:04,21:08,21:13,21:16,21:21,21:25
4171,20:35,20:43,20:49,20:52,20:55,20:57,21:00,21:03,21:08,21:12,,,,,,,,,
4173,21:06,21:14,21:20,21:23,21:26,21:28,21:31,21:34,21:39,21:43,21:48,21:50,21:57,22:01,22:05,22:10,22:13,22:18,22:22
