idEstacion,nombre
BN-RETIR,RETIRO
BN-SALDI,SALDIAS
BN-CUNIV,CIUDAD UNIVERSITARIA
BN-ARIST,ARISTOBULO DEL VALLE
BN-PADIL,M.PADILLA
BN-FLORI,FLORIDA
BN-MUNRO,MUNRO
BN-CARAP,CARAPACHAY
BN-VADEL,VILLA ADELINA
BN-BOULO,BOULOGNE
BN-MONTE,VICE ALMIRANTE MONTES
BN-DTORC,DON TORCUATO
BN-SOURD,SOURDEAUX
BN-VMAYO,VILLA DE MAYO
BN-POLVO,LOS POLVORINES
BN-PNOGU,ING. PABLO NOGUES
BN-GBOUR,GRAND BOURG
BN-TALTA,TIERRAS ALTAS
BN-TORTU,TORTUGUITAS
BN-MALBE,M.ALBERTI
BN-DVISO,DEL VISO
BN-CGRIE,CECILIA_GRIERSON
BN-VROSA,VILLA ROSA
LM-RETIR,RETIRO
LM-LTORR,L. DE LA TORRE
LM-BELGC,BELGRANO C
LM-NUNEZ,NÚÑEZ
LM-RIVAD,RIVADAVIA
LM-VLOPE,VTE. LÓPEZ
LM-OLIVO,OLIVOS
LM-LUCIL,LA LUCILA
LM-MARTI,MARTÍNEZ
LM-ACASU,ACASSUSO
LM-SISID,SAN ISIDRO
LM-BECCA,BECCAR
LM-VICTO,VICTORIA
LM-VIRRE,VIRREYES
LM-SFERN,SAN FERNANDO
LM-CARUP,CARUPÁ
LM-TIGRE,TIGRE
LM-3FEBR,3 DE FEBRERO
LM-CARRA,CARRANZA
LM-COLEG,COLEGIALES
LM-BELGR,BELGRANO R
LM-COGHL,COGHLAN
LM-SAAVE,SAAVEDRA
LM-JBJUS,J.B. JUSTO
LM-FLORI,FLORIDA
LM-CETRA,CETRÁNGOLO
LM-BMITR,B.MITRE
LM-DRAGO,DRAGO
LM-URQUI,URQUIZA
LM-PUEYR,PUEYRREDÓN
LM-MIGUE,MIGUELETE
LM-SMART,SAN MARTÍN
LM-SANDR,SAN ANDRÉS
LM-MALAV,MALAVER
LM-VBALL,VILLA BALLESTER
LM-CHILA,CHILAVERT
LM-JLSUA,J. L. SUÁREZ
LM-BANCA,BANCALARI
LM-PACHE,PACHECO
LM-BENAV,BENAVÍDEZ
LM-MASCH,MASCHWITZ
LM-ESCOB,ESCOBAR
LM-RIOLU,RÍO LUJÁN
LM-OTAME,OTAMENDI
LM-CAMPA,CAMPANA
LM-KM.83,KM. 83
LM-ZARAT,ZÁRATE
LM_SCHWE,SCHWEITZER
LM_TALAR,EL TALAR
LM_CAMEL,LÓPEZ CAMELO
LM_GARIN,GARÍN
LM_SAVIO,MAQ. SAVIO
LM_MATHE,MATHEU
LM_ZELAY,ZELAYA
LM_CARDA,LOS CARDALES
LM_CAPIL,CAPILLA DEL SEÑOR
LS_ONCES,ONCE
LS_CABAL,CABALLITO
LS_FLORE,FLORES
LS_FESTA,FLORESTA
LS_VLURO,VILLA LURO
LS_LINIE,LINIERS
LS_CIUDA,CIUDADELA
LS_RMEJI,RAMOS MEJÍA
LS_HAEDO,HAEDO
LS_MORON,MORÓN
LS_CASTE,CASTELAR
LS_ITUZA,ITUZAINGÓ
LS_PADUA,S. A. DE PADUA
LS_MERLO,MERLO
LS_PAREY,PASO DEL REY
LS_MOREN,MORENO
LS-LREJA,LA REJA
LS-FCOAL,FCO. ÁLVAREZ
LS-MARIN,ING. P. MARÍN
LS-MALVI,LAS MALVINAS
LS-GRODR,GRAL. RODRÍGUEZ
LS-FRATE,LA FRATERNIDAD
LS-LEZIC,LEZICA Y TORREZURI
LS-ULUJA,UNIV. DE LUJÁN
LS-LUJAN,LUJÁN
LS-JAURE,JÁUREGUI
LS-OLIVE,OLIVERA
LS-GOWLA,GOWLAND
LS-MERCE,MERCEDES
LS-KM.34,KM 34.5
LS-FERRA,A. FERRARI
LS-ACOST,M. ACOSTA
LS-MRCAL,MAQUINISTA RICARDO CAL
LS-MARCO,MARCOS PAZ
LS-ZAMUD,ZAMUDIO
LS-HORNO,HORNOS
LS-HERAS,LAS HERAS
LS-SPERA,SPERATTI
LS-ZAPIO,ZAPIOLA
LS-ELOBO,EMP. LOBOS
LS-LOBOS,LOBOS
SM-RETIR,RETIRO
SM-PALER,PALERMO
SM-VCRES,VILLA CRESPO
SM-PATER,LA PATERNAL
SM-VDPAR,VILLA DEL PARQUE
SM-DEVOT,DEVOTO
SM-SAENZ,SÁENZ PEÑA
SM-SLUGA,SANTOS LUGARES
SM-CASER,CASEROS
SM-PALOM,EL PALOMAR
SM-HURLI,HURLINGHAM
SM-MORRI,W. C. MORRIS
SM-BVIST,BELLA VISTA
SM-MUNIZ,MUÑIZ
SM-SMIGU,SAN MIGUEL
SM-JCPAZ,JOSÉ C. PAZ
SM-SVERD,SOL Y VERDE
SM-DERQU,PTE. DERQUI
SM-ASTOL,VILLA ASTOLFI
SM-PILAR,PILAR
SM-MANZA,MANZANARES
SM-CABRE,DR.CABRED
BS-SAENZ,DR. A. SÁENZ
BS-SOLDA,VILLA SOLDATI
BS-ILLIA,PTE. ILLIA
BS-LUGAN,LUGANO
BS-MADER,VILLA MADERO
BS-FOURN,M. DEL FOURNIER
BS-TAPIA,TAPIALES
BS-CASTE,ING. CASTELLO / KM 12
BS-QUERA,QUERANDÍ
BS-LAFER,LAFERRERE
BS-EVADU,EVA DUARTE
BS-INDEP,INDEPENDENCIA
BS-CATAN,GONZÁLEZ CATÁN
BS-BONZI,ALDO BONZI MARÍA
BS-MENDE,S. DE MENDEVILLE
BS-JINGE,JOSÉ INGENIEROS
BS-VILLE,J. VILLEGAS
BS-CASAN,ISIDRO CASANOVA
BS-CASTI,RAFAEL CASTILLO
BS-MGOME,MERLO GÓMEZ
BS-LIBER,LIBERTAD
BS-MCGBE,MARINOS DEL C. GRAL. BELGRANO
BS-20JUN,20 DE JUNIO
BS-MAPAZ,MARCOS PAZ
BS-VILLA,VILLARS
BS-LOZAN,LOZANO
