SERVICIO,LS-MERLO,LS-KM.34,LS-FERRA,LS-ACOST,LS-MRCAL,LS-MARCO,LS-ZAMUD,LS-HORNO,LS-HERAS,LS-SPERA,LS-ZAPIO,LS-ELOBO,LS-LOBOS
2801,02:56,03:04,03:09,03:14,03:18,03:25,03:36,03:43,03:49,,,,
2803,04:08,04:16,04:21,04:26,04:30,04:37,04:48,04:55,05:01,,,,
2805,05:36,05:44,05:49,06:00,06:04,06:10,,,,,,,
2807,06:34,06:42,06:47,06:52,06:56,07:03,07:14,07:21,07:27,,,,
2809,07:41,07:49,07:54,07:59,08:03,08:14,08:25,08:32,08:38,,,,
2811,09:05,09:13,09:18,09:23,09:27,09:34,09:45,09:52,09:58,,,,
2813,10:33,10:41,10:46,10:57,11:01,11:07,,,,,,,
2815,11:31,11:39,11:44,11:49,11:53,12:00,12:11,12:18,12:24,,,,
2817,12:38,12:46,12:51,12:56,13:00,13:11,13:22,13:29,13:35,,,,
2819,13:57,14:05,14:10,14:15,14:19,14:26,14:37,14:44,14:50,,,,
2821,15:25,15:33,15:38,15:49,15:53,15:59,,,,,,,
2823,16:23,16:31,16:36,16:41,16:45,16:52,17:03,17:10,17:16,,,,
2825,17:30,17:38,17:43,17:48,17:52,18:03,18:14,18:21,18:27,,,,
2827,18:49,18:57,19:02,19:07,19:11,19:18,19:29,19:36,19:42,,,,
2829,20:17,20:25,20:30,20:41,20:45,20:51,,,,,,,
2831,21:15,21:23,21:28,21:33,21:37,21:44,21:55,22:02,22:08,,,,
2833,22:22,22:30,22:35,22:40,22:44,22:55,23:06,23:13,23:19,,,,
