SERVICIO,LS-LOBOS,LS-ELOBO,LS-ZAPIO,LS-SPERA,LS-HERAS,LS-HORNO,LS-ZAMUD,LS-MARCO,LS-MRCAL,LS-ACOST,LS-FERRA,LS-KM.34,LS-MERLO
2804,,,,,05:26,05:32,05:39,05:51,05:57,06:02,06:06,06:11,06:19
2806,,,,,,,,06:43,06:49,07:00,07:04,07:09,07:17
2808,,,,,07:52,07:58,08:05,08:17,08:23,08:28,08:32,08:37,08:45
2810,,,,,09:07,09:13,09:20,09:36,09:42,09:47,09:51,09:56,10:04
2812,,,,,10:18,10:24,10:31,10:43,10:49,10:54,10:58,11:03,11:11
2814,,,,,,,,11:35,11:41,11:52,11:56,12:01,12:09
2816,,,,,12:44,12:50,12:57,13:09,13:15,13:20,13:24,13:29,13:37
2818,,,,,13:59,14:05,14:12,14:28,14:34,14:39,14:43,14:48,14:56
2820,,,,,15:10,15:16,15:23,15:35,15:41,15:46,15:50,15:55,16:03
2822,,,,,,,,16:27,16:33,16:44,16:48,16:53,17:01
2824,,,,,17:36,17:42,17:49,18:01,18:07,18:12,18:16,18:21,18:29
2826,,,,,18:51,18:57,19:04,19:20,19:26,19:31,19:35,19:40,19:48
2828,,,,,20:02,20:08,20:15,20:27,20:33,20:38,20:42,20:47,20:55
2830,,,,,,,,21:19,21:25,21:36,21:40,21:45,21:53
2832,,,,,22:28,22:34,22:41,22:53,22:59,23:04,23:08,23:13,23:21
2834,,,,,23:40,23:46,23:53,00:05,00:11,00:16,00:20,00:25,00:33
