SERVICIO,BS-MCGBE,BS-LIBER,BS-MGOME,BS-CASTI,BS-CASAN,BS-VILLE,BS-JINGE,BS-MENDE,BS-BONZI,BS-TAPIA,BS-FOURN,BS-MADER,BS-LUGAN,BS-ILLIA,BS-SOLDA,BS-SAENZ
3804,,,,,,,,,,04:30,04:34,04:38,04:42,04:49,04:52,05:00
3806,,,,,,,,,,04:55,04:59,05:03,05:07,05:14,05:17,05:25
4810,05:05,05:14,05:20,05:24,05:30,05:37,05:40,05:42,05:47,05:53,,,,,,
4816,06:05,06:14,06:20,06:24,06:30,06:37,06:40,06:42,06:47,06:53,,,,,,
4822,07:05,07:14,07:20,07:24,07:30,07:37,07:40,07:42,07:47,07:53,,,,,,
4828,08:05,08:14,08:20,08:24,08:30,08:37,08:40,08:42,08:47,08:53,,,,,,
4834,09:05,09:14,09:20,09:24,09:30,09:37,09:40,09:42,09:47,09:53,,,,,,
4840,10:05,10:14,10:20,10:24,10:30,10:37,10:40,10:42,10:47,10:53,,,,,,
4846,11:05,11:14,11:20,11:24,11:30,11:37,11:40,11:42,11:47,11:53,,,,,,
4852,12:05,12:14,12:20,12:24,12:30,12:37,12:40,12:42,12:47,12:53,,,,,,
4858,13:05,13:14,13:20,13:24,13:30,13:37,13:40,13:42,13:47,13:53,,,,,,
4864,14:05,14:14,14:20,14:24,14:30,14:37,14:40,14:42,14:47,14:53,,,,,,
4870,15:05,15:14,15:20,15:24,15:30,15:37,15:40,15:42,15:47,15:53,,,,,,
4876,16:05,16:14,16:20,16:24,16:30,16:37,16:40,16:42,16:47,16:53,,,,,,
4882,17:05,17:14,17:20,17:24,17:30,17:37,17:40,17:42,17:47,17:53,,,,,,
4888,18:05,18:14,18:20,18:24,18:30,18:37,18:40,18:42,18:47,18:53,,,,,,
4894,19:05,19:14,19:20,19:24,19:30,19:37,19:40,19:42,19:47,19:53,,,,,,
4900,20:05,20:14,20:20,20:24,20:30,20:37,20:40,20:42,20:47,20:53,,,,,,
4906,21:05,21:14,21:20,21:24,21:30,21:37,21:40,21:42,21:47,21:53,,,,,,
4912,22:08,22:17,22:23,22:27,22:33,22:40,22:43,22:45,22:50,22:56,,,,,,
4914,23:06,23:15,23:21,23:25,23:31,23:38,23:41,23:43,23:48,23:54,,,,,,
