SERVICIO,LM-VICTO,LM_SCHWE,LM_TALAR,LM_CAMEL,LM_GARIN,LM_SAVIO,LM_MATHE,LM_ZELAY,LM_CARDA,LM_CAPIL
2001,03:50,03:59,04:18,04:24,04:32,04:39,04:48,04:55,05:13,
2003,05:56,06:05,06:24,06:33,06:41,06:48,06:56,,,
2005,08:12,08:21,08:40,08:46,08:54,09:01,09:10,09:17,09:35,
2007,10:10,10:19,10:38,10:47,10:55,11:02,11:11,11:18,11:36,
2009,12:10,12:19,12:38,12:47,12:55,13:02,13:11,13:18,13:36,
2011,14:14,14:23,14:42,14:48,14:56,15:03,15:12,15:19,15:37,
2013,16:21,16:30,16:49,16:55,17:03,17:10,17:19,17:26,17:44,
2015,17:46,17:55,18:14,18:20,18:28,18:35,18:44,18:51,19:09,
2017,19:55,20:04,20:23,20:29,20:37,20:44,20:53,21:00,21:18,
2019,21:55,22:04,22:23,22:29,22:37,22:44,,,,
